sent_id,tokens,dep_labels
pop_1479,"'ROOT', '""', 'Yeni', 'emekli', 'olmuş', 'general', 'bir', 'dostum', ',', 'taşındığı', '95', 'metrekarelik', 'evinde', ',', 'aldığı', 'plaketleri', 'asacak', 'duvar', 'bulamadığı', 'gibi', 'bunları', 'yerleştirdiği', 'sandıkları', 'koyacak', 'yer', 'olmadığından', 'yakındı', ',', ""'Ne"", 'yapayım', '?', ""'"", 'dedi', '.""'","42, 38, 3, 1, 15, 30, 21, 32, 38, 1, 33, 31, 35, 38, 1, 34, 1, 34, 1, 9, 34, 1, 34, 1, 32, 12, 39, 38, 34, 12, 38, 38, 17, 38"
news_414,"'ROOT', 'Bu', 'işe', 'bir', 'çözüm', 'bulacağınızı', 'ümit', 'ediyor', 'saygılar', 'sunuyorum', '.'","42, 21, 35, 21, 31, 12, 39, 15, 34, 17, 38"
bio_316,"'ROOT', '1966', 'yılında', 'Bafa', 'gölünün', 'kuzeyinde', 'yer', 'alan', 'Kayalık', 'Beşparmak', 'dağlarına', 'tırmanıyorduk', '.'","42, 31, 35, 31, 31, 35, 1, 14, 31, 25, 35, 39, 38"
ins_1701,"'ROOT', 'Ama', 'beni', 'basketbol', 'takımına', 'almadılar', '.'","42, 10, 34, 31, 35, 39, 38"
ins_782,"'ROOT', 'Bundan', 'sonra', '""', 'çağdaş', 'olimpiyatlar', '""', 'adıyla', 'anıldı', '.'","42, 3, 9, 38, 5, 31, 38, 35, 39, 38"
pop_187,"'ROOT', '""Müjdeler', 'var', 'yurdumun', 'toprağına', 'taşına', ','","42, 32, 39, 31, 35, 17, 38"
bio_665,"'ROOT', 'Onun', 'için', 'yol', 'arkadaşlarımızı', 'titizlikle', 'seçer', ',', 'kendilerini', 'iyice', 'sınarız', '.'","42, 35, 9, 31, 34, 3, 39, 38, 34, 3, 17, 38"
news_1144,"'ROOT', 'Savcı', ',', 'petrol', 'tankerinin', 'Hintli', 'kaptanının', 'da', 'olayda', 'bir', 'ihmali', 'bulunup', 'bulunmadığını', 'araştırıyor', '.'","42, 32, 38, 31, 31, 5, 31, 4, 35, 21, 32, 12, 16, 39, 38"
ess_921,"'ROOT', 'Kahvaltıya', 'kadar', '2', 'saat', 'çalışırım', '.'","42, 35, 9, 33, 35, 39, 38"
bio_1097,"'ROOT', '""Neden', '?', '""', 'diye', 'sordum', '.'","42, 12, 38, 38, 9, 39, 38"
ins_1519,"'ROOT', 'Bu', 'korkular', ',', 'hayatımızın', 'çeşitli', 'dönemlerinde', 'değişiklikler', 'gösterebilir', '.'","42, 21, 32, 38, 31, 5, 35, 34, 39, 38"
pop_1208,"'ROOT', 'Örneğin', ',', 'bu', 'alanda', 'Mars', ',', 'bizi', 'aşırı', 'sahip', 'olmacı', 'biri', 'yaparken', ',', 'miras', 'konusunda', 'engeller', 'çıkarabilir', '.'","42, 22, 38, 21, 35, 31, 38, 34, 3, 5, 15, 34, 2, 38, 31, 35, 34, 39, 38"
news_1671,"'ROOT', 'Tapınakta', 'panik', 'var'","42, 35, 32, 39"
ins_93,"'ROOT', 'Arabalarımıza', 'kartondan', 'garaj', 'yaparız', '.'","42, 35, 35, 34, 39, 38"
bio_1311,"'ROOT', 'İçindeki', 'isimler', 've', 'telefon', 'numaralarından', 'yola', 'çıkarak', 'başka', 'operasyonlar', 'yaptık', ',', 'ama', 'bunlar', 'ayrı', 'bir', 'öykü', '.""'","42, 5, 35, 10, 31, 17, 2, 14, 5, 34, 39, 38, 10, 32, 5, 21, 17, 38"
ess_913,"'ROOT', 'İkisi', 'de', ""Türkiye'nin"", 'sevdalısı', '.'","42, 32, 4, 31, 39, 38"
bio_1864,"'ROOT', 'Tüm', 'dostlara', 'haber', 'ulaştıramadım', ',', 'ama', 'kalan', 'dostlar', 'her', 'şeyi', 'halletti', '.'","42, 21, 35, 34, 39, 38, 10, 1, 32, 21, 34, 17, 38"
pop_731,"'ROOT', 'Her', 'istediklerini', 'verirseniz', 'kıymet', 'bilmezler', ',', 'üstelik', 'hiçbir', 'şeyden', 'zevk', 'almaz', 'olurlar', '.'","42, 21, 34, 2, 39, 14, 38, 3, 21, 35, 12, 14, 17, 38"
news_56,"'ROOT', 'ABD', 'Başkanı', 'George', 'Bush', ',', ""Irak'taki"", 'Amerikan', 'birliklerinin', 'omuzlarındaki', 'yükün', ',', 'sonbaharda', 'müttefiklerin', 'gelişiyle', 'hafifleyeceğini', 'söyledi', '.'","42, 31, 30, 32, 25, 38, 5, 5, 31, 5, 32, 38, 35, 31, 35, 34, 39, 38"
bio_1512,"'ROOT', '""Bunu', 'da', 'mı', 'o', 'yapmış', '?', '""'","42, 34, 4, 8, 32, 39, 38, 38"
pop_931,"'ROOT', 'Yarım', 'greyfurt', 'günlük', 'C', 'vitamini', 'ihtiyacının', 'yüzde', 'altmışını', 'sağlar', '.'","42, 5, 32, 5, 31, 31, 31, 31, 34, 39, 38"
pop_1181,"'ROOT', '1', 'yemek', 'kaşığı', 'zeytinyağı'","42, 33, 31, 5, 39"
pop_112,"'ROOT', 'Yan', 'tarafında', 'da', 'kocaman', 'bir', 'kavanoz', '.'","42, 5, 35, 4, 5, 21, 39, 38"
bio_1603,"'ROOT', 'O', 'hanımı', 'asistan', 'yaptılar', '.'","42, 21, 34, 34, 39, 38"
news_499,"'ROOT', 'Mini', 'dizüstünde', '3N', 'dopingi'","42, 5, 35, 31, 39"
ess_932,"'ROOT', 'Ama', 'hayatta', 'her', 'şey', 'bizim', 'istediğimiz', 'gibi', 'olmuyor', '.'","42, 39, 35, 32, 14, 32, 30, 9, 17, 38"
ins_704,"'ROOT', 'Öyle', 'yse', ',', 'ben', 'bir', 'İspanyol', 'olduğum', 'kadar', 'dünyalıyım', 'da', '.'","42, 2, 18, 38, 32, 21, 34, 3, 9, 39, 4, 38"
news_388,"'ROOT', 'Bu', 'yaş', 'diliminin', 'en', 'az', 'çalışanları', 'ise', 'Slovakya', ',', 'Belçika', 've', ""Fransa'da"", '.'","42, 21, 5, 31, 3, 5, 32, 18, 39, 38, 17, 10, 17, 38"
ess_594,"'ROOT', 'Bunu', 'umuyoruz', '.'","42, 34, 39, 38"
news_1344,"'ROOT', 'Bu', 'kararla', 'polise', 've', 'savcılıklara', 'bu', 'yönde', 'yapılan', 'şikâyetlerin', 'de', 'azalacağı', 'belirtildi', '.'","42, 21, 35, 35, 10, 17, 21, 35, 1, 32, 4, 19, 39, 38"
bio_1396,"'ROOT', 'Moby', ""Dick'e"", 'aldığım', 'sarı', 'boya', 'inceltmek', 'için', 'ne', 'gaz', ',', 'ne', 'benzin', ',', 'hiçbir', 'şey', 'kabul', 'etmiyordu', '.'","42, 35, 25, 1, 5, 32, 2, 9, 11, 32, 38, 11, 17, 38, 21, 34, 39, 15, 38"
bio_1973,"'ROOT', 'Telsiz', ',', 'sürekli', 'olarak', 'işliyor', ',', 'tamamlayıcı', 'haberler', 'geliyor', ',', 'buyruklar', 'yerine', 'ulaşıyordu', '.'","42, 32, 38, 2, 9, 39, 38, 5, 32, 17, 38, 32, 34, 17, 38"
pop_542,"'ROOT', '1', 'kutu', 'ançüez'","42, 33, 5, 39"
bio_965,"'ROOT', 'Dünyaca', 'ünlü', 'obuacı', 'oturup', 'bir', 'süre', 'dinledi', ',', 'sonra', 'solisti', 'tanımak', 'istediğini', 'söyledi', '.'","42, 3, 5, 32, 2, 21, 35, 39, 38, 3, 34, 41, 12, 17, 38"
ins_1552,"'ROOT', 'O', ',', 'öncelikle', 'çok', 'büyük', 'bir', 'asker', 've', 'komutan', 'dır', '.'","42, 32, 38, 3, 3, 5, 21, 39, 10, 17, 18, 38"
bio_1690,"'ROOT', 'Çocuklardan', 'biri', ','","42, 31, 39, 38"
bio_1888,"'ROOT', 'Köylülerin', 'çoğu', 'evlere', 'girmemişti', ';', 'çünkü', 'söylediklerine', 'göre', 'ısınamıyorlardı', '.'","42, 32, 21, 35, 39, 38, 10, 2, 9, 17, 38"
bio_1939,"'ROOT', 'Sesleri', 'duyan', ',', 'şirkete', 'yeni', 'girmiş', 'kaptan', ',', 'şaşkın', 've', 'ürkek', 'bir', 'ifadeyle', 'boxerını', 'çekiştirerek', 'tuvaletten', 'fırladı', '.'","42, 34, 1, 38, 35, 5, 17, 32, 38, 5, 10, 17, 21, 35, 34, 2, 35, 39, 38"
bio_1867,"'ROOT', 'Alelacele', 'el', 'edip', 'durdurdum', 've', 'bindik', '.'","42, 3, 2, 15, 39, 10, 17, 38"
pop_45,"'ROOT', 'Sarı', ',', 'beyaz', ',', 'pembe', 'renkli', 'cinsleri', 'içinde', 'en', 'çok', 'beyazı', 'sevilir', '.'","42, 5, 38, 17, 38, 17, 5, 31, 35, 3, 3, 32, 39, 38"
ins_1403,"'ROOT', 'Dünyada', 'uluslararası', 'duruma', 'göre', 'böyle', 'bir', 'mücadelenin', 'gerektirdiği', 'manevi', 'unsurlara', 'sahip', 'olmayan', 'kişiler', 've', 'bu', 'nitelikte', 'kişilerden', 'oluşan', 'toplumlara', 'hayat', 've', 'bağımsızlık', 'yok', 'tur', '.'","42, 35, 5, 35, 9, 5, 21, 32, 1, 5, 34, 1, 15, 35, 10, 21, 35, 35, 1, 17, 32, 10, 17, 39, 18, 38"
bio_634,"'ROOT', 'Ancak', '""', 'pet', 'therapist""i', 'size', 'tanıtmadan', 'geçemeyeceğim', '.'","42, 10, 38, 34, 25, 27, 2, 39, 38"
pop_933,"'ROOT', ""Kadıköy'de"", ""İstanbul'un"", 'Musevi', 'gençleri', ',', 'Bobi', 'takma', 'adıyla', 'sahaya', 'çıkan', 'ilk', 'Türk', 'futbolcusu', 'Fuat', 'Hüsnü', ',', 'Büyük', 'Hasan', 've', 'Dalaklı', 'Hüseyin', 'gibi', 'isimler', 'de', 'forma', 'giydiler', '.'","42, 35, 31, 31, 32, 38, 31, 5, 35, 35, 1, 5, 31, 31, 5, 25, 38, 17, 25, 10, 17, 25, 9, 17, 4, 34, 39, 38"
news_711,"'ROOT', 'İsrailli', 'yetkililerin', 'daha', 'önce', 'yaptıkları', 'açıklamalarda', ',', 'sınırın', 'İsrail', 'tarafına', 'gönderilen', 'bazı', 'füzelerin', 'Suriye', 'tarafından', 'tahsis', 'edildiği', 'ileri', 'sürülürken', ',', 'İsrail', 'Başbakanı', 'Ehud', ""Olmert'in"", ',', '""', ""Hizbullah'ı"", 'destekliyor', '""', 'diyerek', ""İran'ı"", 'da', 'suçlaması', ',', 'sona', 'erdirilmesi', 'beklenen', 'sorunun', 'daha', 'büyük', 'bir', 'coğrafyaya', 'yayılabileceği', 'kaygısını', 'uyandırıyor', '.'","42, 5, 32, 3, 9, 1, 35, 38, 31, 31, 35, 1, 21, 32, 31, 35, 19, 15, 2, 14, 38, 31, 30, 32, 25, 38, 38, 34, 12, 38, 2, 34, 4, 19, 38, 19, 14, 1, 32, 3, 5, 21, 35, 31, 34, 39, 38"
ins_276,"'ROOT', 'Ne', 'kadar', 'düşünürsem', 'düşüneyim', ',', 'televizyonda', 'izlediklerimden', 'başka', 'bir', 'fikir', 'gelmiyor', 'aklıma', '.'","42, 35, 3, 2, 16, 38, 35, 3, 5, 21, 32, 39, 35, 38"
ess_1954,"'ROOT', 'Bence', 'anne', 'babalar', 'da', 'tam', 'olarak', 'bilmiyordu', 'niye', 'olduğunu', '.'","42, 35, 30, 32, 4, 5, 9, 1, 3, 39, 38"
pop_1233,"'ROOT', 'Atkuyruğu', '(', 'zemberekotu', ')'","42, 39, 38, 6, 38"
ess_1231,"'ROOT', ""1925'in"", 'ilk', 'yarısından', 'itibaren', ',', ""Türkiye'de"", 'muhalefete', 've', 'dolayısıyla', 'siyasete', 'yaşama', 'hakkı', 'tanınmamıştır', '.'","42, 31, 5, 5, 9, 38, 30, 31, 10, 17, 35, 14, 32, 39, 38"
news_1402,"'ROOT', 'Ancak', 'saldırıyı', 'henüz', 'üstlenen', 'olmadı', '.'","42, 10, 34, 3, 32, 39, 38"
bio_1520,"'ROOT', '""', 'Grubumuz', ',', '190', 'oyla', 'bir', 'Meclis', 'Başkanı', 'seçiminde', 'etkin', 'olamadığımızı', 'düşündüğü', 'anda', ',', 'eğer', ""Meclis'in"", 'çalışmaya', 'başlamasını', 'sağlamak', 've', ""Anayasa'nın"", ""84'ncü"", 'maddesinin', '(', 'bu', 'madde', 'başkanlık', 'divanında', 'partilerin', 'oyları', 'oranında', 'temsil', 'edilmesini', 'öngörüyordu', ')', 'işlerliğinden', 'vazgeçmek', 've', '1961', 'yılından', 'beri', 'uygulanmakta', 'olan', 'centilmenlik', 'anlaşmasından', 'da', 'vazgeçilmesine', 'razı', 'olmak', 'gibi', 'üç', 'ihtimalden', 'birini', 'kabul', 'etse', 'ydik', ',', 'bugün', ""Meclis'in"", 'belki', 'bir', 'başkanı', 'olurdu', '.'","42, 38, 32, 38, 33, 35, 21, 31, 31, 35, 12, 15, 1, 35, 38, 10, 32, 12, 12, 1, 10, 31, 5, 31, 38, 21, 32, 31, 35, 31, 31, 35, 12, 15, 2, 38, 34, 17, 10, 31, 35, 9, 12, 1, 31, 34, 4, 34, 17, 15, 9, 33, 31, 34, 2, 15, 18, 38, 35, 31, 3, 21, 32, 39, 38"
pop_1332,"'ROOT', 'Dik', 'dik', 'yüzüne', 'baktı', '.'","42, 3, 16, 35, 39, 38"
ins_1410,"'ROOT', 'Bütün', 'bir', 'günü', 'çalışmadan', 'büyük', 'bir', 'sessizlik', 'içerisinde', 'geçirdik', '.'","42, 5, 21, 35, 2, 5, 21, 31, 35, 39, 38"
ins_1435,"'ROOT', 'O', 'zamanlar', ""Kadifekale'de"", 'otururlarmış', '.'","42, 21, 35, 35, 39, 38"
pop_960,"'ROOT', 'Fazla', 'sayıda', 'olmamakla', 'birlikte', 'bazı', 'kadınlar', 'da', 'orgazm', 'sırasında', 'boşalırlar', '.'","42, 5, 35, 2, 9, 21, 32, 4, 31, 35, 39, 38"
news_451,"'ROOT', ""Türkiye'de"", 'hassasiyetlerimiz', 'var', '.'","42, 35, 32, 39, 38"
ins_1347,"'ROOT', 'Sular', 'yaşıyor', 'yanımda'","42, 32, 39, 35"
bio_1175,"'ROOT', 'Bu', 'stratejinin', 'ortaya', 'konulacağını', ""Hürriyet'te"", 'ilk', 'ben', 'yazmıştım', 've', 'yazdıklarım', 'da', 'olduğu', 'gibi', 'çıkmıştı', '.'","42, 21, 32, 12, 14, 35, 5, 32, 39, 10, 19, 4, 2, 9, 17, 38"
bio_1902,"'ROOT', 'Benim', 'için', 'gerçek', 'anlamda', 'trajik', 'bir', 'olaya', 'dönüşmüş', '.'","42, 35, 9, 5, 35, 5, 21, 34, 39, 38"
bio_1315,"'ROOT', '-', 'Üç', 'demir', 'çubuk', 'bulup', 'getirin', ',', 'dedi', '.'","42, 38, 33, 14, 34, 2, 12, 38, 39, 38"
bio_51,"'ROOT', 'Rehberimiz', 'yılların', 'verdiği', 'ustalıkla', ',', 'önünde', 'durduğumuz', 'her', 'yapı', 'hakkında', 'bilgi', 'veriyor', 'bize', '.'","42, 30, 31, 1, 35, 38, 5, 1, 21, 31, 35, 39, 14, 34, 38"
ins_1973,"'ROOT', 'Hiç', 'ağrı', ',', 'çürük', 'yok', ','","42, 3, 32, 38, 17, 39, 38"
ess_587,"'ROOT', 'Salt', 'yargı', 'önüne', 'çıkarılmasın', 'diye', 'partisini', 'bağlayıp', ',', 'paketleyip', 'Refah', ""Partisi'ne"", 'rehin', 'bırakan', 'Bayan', 'Çiller', 'ödülünü', 'alıyor', '.'","42, 31, 31, 2, 14, 9, 34, 2, 38, 17, 31, 27, 34, 1, 30, 32, 34, 39, 38"
ins_1717,"'ROOT', 'Panik', ',', 'korku', ',', 'acı', ',', 'ürkek', 've', 'donuk', 'bakışlar', ','","42, 5, 38, 17, 38, 17, 38, 17, 10, 17, 39, 38"
bio_816,"'ROOT', 'Yalnız', 'kaldığında', 'da', 'baktığından', 'şüpheliyim', '.'","42, 3, 2, 4, 34, 39, 38"
ins_991,"'ROOT', 'Bayrama', 'katılmak', 'zorunlu', 'dur', ';', 'katılmayan', ',', 'köy', 'halkınca', 'dışlanır', '.'","42, 32, 19, 39, 18, 38, 32, 38, 31, 3, 17, 38"
ins_1433,"'ROOT', ""Pamukkale'nin"", 'yanında', 'kule', 'gibi', 'görünüşleri', 'ile', 'Peri', 'Bacaları', 'karşılıyor', 've', 'sanki', 'her', 'bir', 'baca', 'başındaki', 'komik', 'şapkası', 'ile', 'bizlere', 'gülümsüyor', '.'","42, 31, 35, 5, 9, 35, 9, 31, 32, 39, 10, 3, 21, 21, 32, 5, 5, 35, 9, 35, 17, 38"
ess_345,"'ROOT', 'Onu', 'tutacak', 'kimse', 'yok', 'ki', '!'","42, 34, 1, 32, 39, 4, 38"
pop_55,"'ROOT', ""Japonya'nın"", 'dağarcığında', 'iki', 'de', 'kış', 'olimpiyatı', 'ev', 'sahipliği', 'vardı', '.'","42, 31, 35, 33, 4, 31, 31, 31, 32, 39, 38"
ins_1609,"'ROOT', 'Benim', 'için', 'de', 'takım', 'elbiselere', 'baktık', '.'","42, 35, 9, 4, 14, 35, 39, 38"
news_279,"'ROOT', 'Oyak', 'Renault', 'Genel', 'Müdürü', 'Alain', 'Gabillet', 'ise', ',', ""Renault'nun"", 'üretiminin', 'geçen', 'yıl', 'yüzde', ""50'ye"", 'yakın', 'oranda', 'artarak', ',', '197', 'bin', '353', 'adede', 'çıktığını', ',', 'böylece', 'rekor', 'kırdıklarını', 'söyledi', '.'","42, 31, 31, 5, 30, 32, 25, 18, 38, 31, 32, 5, 35, 33, 25, 5, 35, 2, 38, 33, 25, 25, 35, 12, 38, 3, 34, 17, 39, 38"
ess_1872,"'ROOT', 'Bu', 'korku', 'fırsatçılığı', 'sayesinde', 'dünyanın', 'en', 'zengin', 'enerji', 'bölgeleri', 'işgal', 'edilmedi', 'mi', '?'","42, 21, 31, 31, 35, 30, 3, 5, 31, 34, 34, 39, 8, 38"
ins_1345,"'ROOT', 'On', 'bir', 'adım', 'saydı', '.'","42, 5, 25, 34, 39, 38"
bio_622,"'ROOT', 'Sağ', 'olanlar', 'hele', 'gençler', 'hastanın', 'halinden', 'anlamıyordu', '.'","42, 3, 32, 3, 17, 31, 35, 39, 38"
bio_1293,"'ROOT', 'Ve', 'işte', 'o', ',', 'beni', 'kahreden', ',', 'somurtganlaştıran', ',', 'saatlerce', 'ağlatan', ',', 'gözyaşlarıyla', 'dolu', '...'","42, 10, 3, 32, 38, 34, 1, 38, 17, 38, 3, 17, 38, 34, 39, 38"
pop_602,"'ROOT', 'Bunun', 'için', ',', '""Vajina', 'Bölgesi""', 'tabiri', 'daha', 'doğru', 'olur', '.'","42, 35, 9, 38, 31, 31, 32, 3, 39, 15, 38"
ins_1838,"'ROOT', 'Ben', 'hapşırdığım', 'zaman', 'ablam', 'çok', 'güler', '.'","42, 32, 1, 3, 32, 3, 39, 38"
pop_1817,"'ROOT', 'islamiyetgercekleri.org'","42, 39"
ins_1495,"'ROOT', 'Bal', ',', 'ana', 'maddesini', 'teşkil', 'eden', 'meyve', 'şekeri', 'sayesinde', 'şeker', 'kamışından', 'hemen', 'hemen', 'iki', 'misli', 'daha', 'tatlıdır', '.'","42, 32, 38, 5, 34, 1, 15, 31, 31, 35, 31, 3, 3, 16, 33, 5, 4, 39, 38"
bio_545,"'ROOT', ""Sevgi'nin"", 'TRT', 'yarışmasına', 'gönderdiği', 'Yürümek', 'romanını', 'sevdim', '.'","42, 31, 31, 34, 1, 31, 34, 39, 38"
ess_1247,"'ROOT', 'Yerli', 'kadınlar', 'sac', 'üzerinde', 'kızartılan', 'yassı', 'ekmeklerin', 'pişirilmesini', 'gösteriyorlar', '.'","42, 5, 32, 31, 30, 14, 5, 31, 34, 39, 38"
ess_1860,"'ROOT', 'Aynı', 'roman', 'Tunç', 'Okan', 'tarafından', 'sinemaya', 'uyarlandı', '(', '1993', ')', '.'","42, 5, 32, 31, 25, 35, 30, 39, 38, 6, 38, 38"
bio_948,"'ROOT', 'Gündüz', 'Sevilgen', 'adlı', ',', ""MSP'li"", 'mühendis', ',', ""CHP'ye"", 'yönelttiği', 'suçlamalarda', ',', 'partisi', 'için', 'ün', 'yapmaya', 'başlamıştı', 'bile', '.'","42, 5, 25, 5, 38, 17, 32, 38, 35, 1, 35, 38, 35, 9, 12, 15, 39, 4, 38"
bio_1258,"'ROOT', '""', 'Anlaşıldı', ',', 'tamam', '.""'","42, 38, 39, 38, 17, 38"
bio_512,"'ROOT', 'Kriz', 'merkezine', 'gelen', 'bir', 'ihbar', 'üzerine', ',', 'deponun', 'sorumluluğu', 'Kocaeli', 'Üniversitesi', 'Tıp', 'Fakültesi', 'personeline', 'devredildi', '.'","42, 31, 35, 1, 21, 31, 35, 38, 31, 32, 31, 31, 31, 31, 35, 39, 38"
ins_995,"'ROOT', 'Tilki', ',', 'sanki', 'bir', 'an', ""Ceren'e"", 'gülümsedi', '.'","42, 32, 38, 3, 21, 35, 35, 39, 38"
bio_213,"'ROOT', 'Yayıncılar', ',', 'editörler', ',', 'şaşılacak', 'şey', ',', 'röntgen', 'gibi', 'biliyorlar', 'birbirlerini', '...'","42, 32, 38, 17, 38, 1, 22, 38, 35, 9, 39, 34, 38"
pop_1897,"'ROOT', 'Profesyonel', 'liglerde', 'takımı', 'bulunmayan', 'illerin', '1', '.'","42, 5, 35, 34, 1, 39, 35, 38"
news_802,"'ROOT', 'Yenilikleri', 'yakından', 'izliyordu', ';', ""1974'te"", 'disco', 'music', 'akımına', 'kapılmış', 'gördük', ""Dalida'yı"", '.'","42, 34, 5, 39, 38, 35, 14, 31, 35, 2, 17, 34, 38"
ess_382,"'ROOT', 'Devede', 'kulak', 'bile', 'değil', '.'","42, 39, 14, 4, 15, 38"
bio_1871,"'ROOT', 'Hem', 'ders', 'anlatıyordu', 'hem', 'de', 'kendi', 'gözetimi', 'altında', 'ders', 'çalıştırıyordu', '.'","42, 11, 34, 39, 11, 10, 31, 31, 35, 34, 17, 38"
pop_1954,"'ROOT', 'Hafifçe', 'rengi', 'dönmüş', 'patlıcanları', 'tepsiye', 'yayıp', 'tuzlayım', 'Üzerine', 'hazırladığınız', 'köfteleri', 'dizin', '.'","42, 3, 32, 1, 34, 35, 2, 39, 35, 1, 34, 17, 38"
pop_118,"'ROOT', '""', 'Unutulan', 'değerlerimize', 'sahip', 'çıkalım', '""', 'haftası', 'etkinlikleri', 'çerçevesinde', 'Arkeoloji', ""Müzesi'nde"", 'düzenlenen', 'konferansta', 'kentliler', 'atalarının', 'davranış', 'biçimlerinin', 'detaylarını', 'öğrenirken', 'hayranlıklarını', 'gizleyemediler', '.'","42, 38, 1, 30, 31, 14, 38, 31, 31, 35, 31, 34, 1, 35, 32, 31, 31, 31, 34, 2, 34, 39, 38"
ess_541,"'ROOT', 'Gümüş', 'yılları', 'aşan', 'saygı', 'lı', 'bir', 'beraberliğin', '""', 'parlak', '""', 'ışıkları', ',', 'günlerin', 'prizmasında', 'önce', 'ikiye', 'bölünüp', 'tuz', 'parça', 'olacaksa', ',', 'ortadan', 'ikiye', 'ayrık', 'Karaoğlan', ',', 'demokratik', 'sol', 'terazisinin', 'hangi', 'kefesinden', 'sesleniyor', '?'","42, 31, 34, 1, 5, 9, 21, 31, 38, 5, 38, 32, 38, 31, 35, 9, 33, 2, 14, 3, 2, 38, 3, 33, 1, 32, 38, 5, 31, 31, 21, 35, 39, 38"
bio_994,"'ROOT', 'Ben', 'değişik', 'birini', 'arıyordum', '.'","42, 32, 5, 34, 39, 38"
ins_786,"'ROOT', 'Araştırmalar', 'gösteriyor', 'ki', 'insanoğlu', 'olarak', 'bizler', ',', 'genelde', 'duygularıyla', 'hareket', 'eden', 'varlıklarız', '.'","42, 32, 2, 29, 2, 9, 32, 38, 3, 35, 1, 15, 39, 38"
ins_955,"'ROOT', 'İlk', 'kez', 'ailesiyle', 'birlikte', 'oyuncak', 'almaya', 'çıkmıştı', '.'","42, 5, 35, 35, 9, 34, 35, 39, 38"
bio_1333,"'ROOT', 'Her', 'ülkede', 'hem', 'çalışıp', ',', 'hem', 'de', 'okuyanlar', 'var', 'dır', '.'","42, 21, 35, 11, 2, 38, 11, 10, 32, 39, 18, 38"
news_1713,"'ROOT', 'Geçen', 'yıl', 'Leeds', ""United'la"", 'oynanan', 'maçlarda', 'yaşanan', 'olaylar', 'nedeniyle', 'güvenlik', 'konusundaki', 'hassasiyetini', 'dile', 'getiren', 'Sarı', '-', ""Kırmızılılar'ı"", 'özel', 'bir', 'şirketin', 'koruması', 'bekleniyor', '.'","42, 5, 35, 35, 25, 1, 35, 1, 31, 35, 31, 5, 34, 1, 14, 34, 38, 25, 5, 21, 32, 19, 39, 38"
pop_472,"'ROOT', 'Orta', 'ısılı', 'ateşte', 'karıştırılarak', 'kaynatın', '.'","42, 5, 5, 35, 2, 39, 38"
